B365H,B365D,B365A,overall_player_home_rating,overall_player_away_rating,result_home
1.18,7.0,17.0,69.16363636363636,61.27272727272727,W
13.0,6.5,1.22,68.01818181818182,71.66363636363636,L
1.73,3.6,5.25,65.06363636363636,64.61818181818181,W
21.0,8.0,1.14,63.18181818181818,72.05454545454546,L
1.75,3.6,4.75,61.38181818181818,64.36363636363636,W
1.25,6.0,12.0,68.44545454545454,66.61818181818181,W
19.0,7.0,1.17,65.36363636363636,68.75454545454545,L
1.29,5.0,11.0,62.18181818181818,65.58181818181818,W
2.2,3.3,3.4,64.15454545454546,64.54545454545455,W
1.7,3.5,5.25,63.85454545454545,60.18181818181818,W
2.2,3.2,3.4,65.54545454545455,63.36363636363637,D
2.05,3.2,3.75,65.2,64.67272727272727,D
2.88,3.2,2.5,67.12727272727273,65.36363636363636,W
1.75,3.5,5.25,65.39090909090909,66.27272727272727,L
1.44,4.2,8.5,64.0,61.0,W
1.18,7.0,17.0,69.0,61.63636363636363,W
6.5,3.8,1.57,64.65454545454546,67.7,L
1.95,3.25,4.33,65.0,64.75454545454545,W
1.62,3.8,6.0,62.45454545454545,63.8,W
2.38,3.1,3.3,63.01818181818182,66.52727272727272,W
1.2,7.0,13.0,70.49090909090908,61.45454545454545,W
3.3,3.1,2.38,65.15454545454546,66.63636363636364,L
2.63,3.2,2.8,64.21818181818182,64.07272727272728,W
1.29,6.0,10.0,69.83636363636364,64.54545454545455,W
2.15,3.25,3.6,66.0,64.24545454545455,W
2.5,3.25,2.9,62.92727272727273,63.18181818181818,D
2.88,3.4,2.45,67.7909090909091,69.24545454545455,W
1.3,5.25,11.0,61.45454545454545,65.0,W
3.4,3.1,2.3,63.86363636363637,63.75454545454545,W
2.8,3.2,2.63,62.5,63.7,L
3.8,3.3,2.05,67.54545454545455,63.81818181818182,W
2.25,3.1,3.5,63.18181818181818,62.66363636363636,L
9.0,5.25,1.33,64.47272727272728,71.0909090909091,L
2.6,3.2,2.8,65.0909090909091,65.2090909090909,W
